text,type
I received a traffic challan for speeding how can I legally contest it?,Legal_Request
What is the legal process to transfer ownership of a vehicle?,Legal_Request
Can I file a complaint if a car dealer sold me a defective vehicle?,Legal_Request
What are my rights if I am stopped by traffic police without reason?,Legal_Request
How do I apply for a duplicate driving license legally?,Legal_Request
My online shopping order never arrived how do I proceed legally?,Legal_Request
How can I approach consumer court for a refund issue?,Legal_Request
What is the limitation period for filing a consumer complaint?,Legal_Request
Someone hacked my email account  how do I report it legally?,Legal_Request
What action can I take if my social media photos are misused?,Legal_Request
How do I register a cybercrime complaint for online harassment?,Legal_Request
What are the legal consequences of identity theft?,Legal_Request
I want to file for divorce due to cruelty what steps should I follow?,Legal_Request
How is child custody decided in Indian courts?,Legal_Request
What documents are required for court marriage?,Legal_Request
Can I claim maintenance from my spouse after separation?,Legal_Request
What are the legal grounds for filing a criminal complaint for assault?,Legal_Request
How do I apply for regular bail after arrest?,Legal_Request
What is the punishment for criminal breach of trust?,Legal_Request
How do I lodge an FIR for theft?,Legal_Request
My neighbor encroached on my land what legal remedy do I have?,Legal_Request
What is the process of property mutation after purchase?,Legal_Request
How do I legally verify land ownership documents?,Legal_Request
Can I file a suit for partition of ancestral property?,Legal_Request
My employer has not paid my salary for two months what can I do legally?,Legal_Request
What are my rights under labor law if I am wrongfully terminated?,Legal_Request
How do I file a complaint against workplace sexual harassment?,Legal_Request
What is the legal notice period for resignation?,Legal_Request
How do I file income tax returns for the first time?,Legal_Request
What happens if I fail to file GST returns on time?,Legal_Request
How do I apply for GST registration?,Legal_Request
What are the penalties for tax evasion under Indian law?,Legal_Request
How do I register a trademark for my startup name?,Legal_Request
What is the difference between copyright and patent protection?,Legal_Request
How can I legally protect my software from piracy?,Legal_Request
What is the process to file a patent application?,Legal_Request
How do I draft a legally valid rental agreement?,Legal_Request
What steps are involved in starting a private limited company?,Legal_Request
How do I file a public interest litigation?,Legal_Request
What are my constitutional rights if police detain me?,Legal_Request
How can I obtain a succession certificate after my father's death?,Legal_Request
What is the procedure to register a will?,Legal_Request
How do I apply for legal guardianship of a minor?,Legal_Request
Can I challenge a government order in court?,Legal_Request
What is the process for obtaining anticipatory bail?,Legal_Request
How do I register a partnership firm legally?,Legal_Request
What legal action can I take for medical negligence?,Legal_Request
How do I resolve a cheque bounce case?,Legal_Request
What are the steps to file a defamation lawsuit?,Legal_Request
How do I legally evict a tenant who refuses to vacate?,Legal_Request
What documents are required to sell inherited property?,Legal_Request
How do I register an NGO?,Legal_Request
How can I file a complaint against air pollution in my area?,Legal_Request
What is the process to obtain environmental clearance for a factory?,Legal_Request
How do I apply for a trade license?,Legal_Request
What are the legal steps to dissolve a company?,Legal_Request
How do I appeal a court judgment?,Legal_Request
What is the difference between civil and criminal cases?,Legal_Request
How do I file a complaint against a bank for unfair charges?,Legal_Request
What legal rights do I have as a guarantor for a loan?,Legal_Request
