text,category
My bike was seized by traffic police for not wearing helmet.,Motor_Vehicle_and_Traffic_Laws
I received a challan message but I did not break any traffic rule.,Motor_Vehicle_and_Traffic_Laws
Traffic police stopped me and asked for bribe instead of fine.,Motor_Vehicle_and_Traffic_Laws
My driving license got suspended without proper reason.,Motor_Vehicle_and_Traffic_Laws
My car was towed from no parking area but there was no board.,Motor_Vehicle_and_Traffic_Laws
I met with an accident and opposite party is not claiming insurance.,Motor_Vehicle_and_Traffic_Laws
Police fined me for triple riding but we were only two persons.,Motor_Vehicle_and_Traffic_Laws
I lost my RC book and want to know the procedure for duplicate.,Motor_Vehicle_and_Traffic_Laws
My vehicle insurance expired and now I got into accident.,Motor_Vehicle_and_Traffic_Laws
Traffic signal camera wrongly captured my number plate.,Motor_Vehicle_and_Traffic_Laws
I was fined for overspeeding but my speed was normal.,Motor_Vehicle_and_Traffic_Laws
My learner license expired before I could apply for permanent.,Motor_Vehicle_and_Traffic_Laws
Police took my bike keys during checking and did not return properly.,Motor_Vehicle_and_Traffic_Laws
I sold my car but challan is still coming in my name.,Motor_Vehicle_and_Traffic_Laws
RTO rejected my driving license application without clear reason.,Motor_Vehicle_and_Traffic_Laws
My vehicle was damaged in hit and run case.,Motor_Vehicle_and_Traffic_Laws
I want to transfer vehicle ownership but buyer is not cooperating.,Motor_Vehicle_and_Traffic_Laws
I was charged high fine for minor traffic violation.,Motor_Vehicle_and_Traffic_Laws
My number plate was considered illegal though it is standard.,Motor_Vehicle_and_Traffic_Laws
Traffic police misbehaved with me during checking.,Motor_Vehicle_and_Traffic_Laws
I got notice for drunk driving but I never consumed alcohol.,Motor_Vehicle_and_Traffic_Laws
My car documents were complete but still police fined me.,Motor_Vehicle_and_Traffic_Laws
Insurance company is delaying claim after road accident.,Motor_Vehicle_and_Traffic_Laws
I was driving friend’s car and fine came to owner.,Motor_Vehicle_and_Traffic_Laws
RTO is delaying my vehicle registration for many weeks.,Motor_Vehicle_and_Traffic_Laws
My vehicle was wrongly marked as blacklisted.,Motor_Vehicle_and_Traffic_Laws
Traffic fine amount seems higher than rule amount.,Motor_Vehicle_and_Traffic_Laws
I got e-challan for wrong location where I never went.,Motor_Vehicle_and_Traffic_Laws
My driving license address needs correction.,Motor_Vehicle_and_Traffic_Laws
Police seized my vehicle for expired pollution certificate.,Motor_Vehicle_and_Traffic_Laws
I was fined for mobile usage while I was parked.,Motor_Vehicle_and_Traffic_Laws
My bike was involved in accident but I was not riding it.,Motor_Vehicle_and_Traffic_Laws
I need help to contest traffic challan in court.,Motor_Vehicle_and_Traffic_Laws
